Selection Year,JO Type,Job Network,Entity,Gender,Nationality,Region,Job Family,Level,Posting Year,JO Number,Applicant Number,JO Selection,Candidate Rostered?,Entity Type,SelectionMonth,PostingMonth,Job Code,Job_Family,Recruitment Timeline (Days)
2020,RfR,POLNET,UN-PKO-1,Male,Australia,Western Europe and Others,Political Affairs,P-3,2020,397128,6963741,Roster,Yes,Peacekeeping Mission,2020-09-01,2020-03-01,UNS:8863,POL,177
2019,PSJO,INFONET,UN-OAH-2,Male,United States of America,Western Europe and Others,Language,P-4,2019,343065,7000377,Non-roster,No,OAH,2019-10-01,2019-03-01,UNS:8632,LAN,196
2021,PSJO,LOGNET,UN-OAH-2,Female,China,Asia-Pacific,Procurement,P-3,2019,376389,7029141,Non-roster,No,OAH,2021-01-01,2019-11-01,UNS:5223,PRO,414
2019,PSJO,DEVNET,UN-OAH-2,Male,Germany,Western Europe and Others,Programme Management,P-3,2018,294726,7067115,Non-roster,No,OAH,2019-03-01,2018-06-01,UNS:8412,PGM,278
2021,PSJO,SCINET,UN-OAH-2,Female,Netherlands,Western Europe and Others,Medical,P-4,2021,486585,7078572,Roster,Yes,OAH,2021-12-01,2021-08-01,UNS:4655,MED,125
2019,PSJO,DEVNET,UN-DEPT-3,Male,Germany,Western Europe and Others,Sustainable Development,P-3,2019,380064,7104027,Roster,Yes,Department,2019-12-01,2019-11-01,UNS:6657,SUS,18
2021,PSJO,POLNET,UN-SPM-4,Female,Germany,Western Europe and Others,Political Affairs,P-4,2021,447219,7249794,Non-roster,No,Special Political Mission,2021-10-01,2021-02-01,UNS:6453,POL,243
2018,RfR,POLNET,UN-SPM-4,Female,Germany,Western Europe and Others,Political Affairs,P-3,2018,297918,7249794,Roster,Yes,Special Political Mission,2018-10-01,2018-08-01,UNS:5119,POL,59
2022,RfR,SAFETYNET,UN-PKO-1,Male,South Sudan,Africa,Safety,P-3,2022,516984,7287351,Roster,Yes,Peacekeeping Mission,2022-08-01,2022-02-01,UNS:10324,SAF,175
2021,PSJO,POLNET,UN-OFFICE-5,Female,Canada,Western Europe and Others,Political Affairs,P-4,2021,459192,7359666,Non-roster,No,Office,2021-11-01,2021-06-01,UNS:5121,POL,161
2019,PSJO,DEVNET,UN-OAH-2,Female,United States of America,Western Europe and Others,Programme Management,P-3,2018,323304,7467537,Roster,Yes,OAH,2019-01-01,2018-12-01,UNS:8412,PGM,29
2017,PSJO,DEVNET,UN-OAH-2,Female,United States of America,Western Europe and Others,Programme Management,P-3,2017,239046,7467537,Non-roster,No,OAH,2017-11-01,2017-07-01,UNS:8412,PGM,139
2020,PSJO,DEVNET,UN-DEPT-3,Female,Brazil,Latin American and Caribbean,Programme Management,P-4,2019,376440,7509747,Non-roster,No,Department,2020-05-01,2019-11-01,UNS:5283,PGM,178
